N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
519,SNT홀딩스,"17,100",150,-0.87%,500,"2,788","16,304",11.20,"4,681",3.66,4.62,
520,이아이디,296,5,-1.66%,200,"2,785","940,725",1.05,"6,696,352",49.33,-15.35,
521,무림P&P,"4,445",75,+1.72%,"2,500","2,772","62,368",1.65,"195,931",108.41,-1.43,
522,선진,"11,650",200,-1.69%,500,"2,770","23,780",15.15,"44,086",4.21,24.25,
523,신한서부티엔디리츠,"4,930",45,-0.90%,"1,000","2,759","55,956",2.20,"294,993",N/A,-0.25,
524,미래에셋 레버리지 원유선물혼합 ETN(H),"6,725",190,-2.75%,0,"2,757","41,000",0.00,"17,223",N/A,N/A,
525,벽산,"3,980",20,-0.50%,500,"2,729","68,560",4.35,"581,230","-1,326.67",-0.67,
526,제이에스코퍼레이션,"20,400",300,-1.45%,100,"2,720","13,336",1.46,"47,857",10.58,1.54,
527,디씨엠,"23,100",900,-3.75%,500,"2,703","11,700",0.90,"90,504",6.93,10.98,
528,SBS미디어홀딩스,"1,930",0,0.00%,500,"2,700","139,896",1.39,0,5.01,-11.93,
529,경인양행,"6,490",110,-1.67%,500,"2,698","41,576",3.30,"170,180",22.77,-4.18,
530,KSS해운,"11,600",0,0.00%,500,"2,690","23,186",6.08,"21,672",6.82,4.78,
531,KPX홀딩스,"63,600",400,+0.63%,"5,000","2,687","4,225",31.41,"3,642",1.91,20.00,
532,KODEX 미국나스닥100TR,"12,355",135,-1.08%,0,"2,681","21,700",0.01,"363,395",N/A,N/A,
533,TYM,"1,755",5,+0.29%,500,"2,659","151,530",4.29,"528,849",30.26,2.98,
534,삼영무역,"14,400",0,0.00%,500,"2,659","18,467",20.06,"5,461",7.02,7.59,
535,대덕,"7,820",50,-0.64%,500,"2,650","33,890",7.17,"132,884",10.58,17.88,
536,도화엔지니어링,"7,820",50,-0.64%,500,"2,637","33,720",1.84,"67,928",21.37,7.00,
537,대한제분,"155,500","2,500",+1.63%,"5,000","2,628","1,690",8.14,"2,740",3.07,2.70,
538,대한제당,"2,925",25,-0.85%,500,"2,624","89,697",2.32,"106,628",9.69,4.80,
539,경보제약,"10,950",300,+2.82%,500,"2,618","23,907",1.16,"165,871",-64.41,6.16,
540,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,375",5,0.00%,0,"2,612","2,602",0.00,8,N/A,N/A,
541,노루페인트,"13,050",800,-5.78%,500,"2,610","20,000",4.66,"405,413",18.28,5.48,
542,일신방직,"108,500",0,0.00%,"5,000","2,604","2,400",8.65,"2,193",5.03,1.42,
543,일진홀딩스,"5,270",90,-1.68%,"1,000","2,601","49,347",4.16,"82,513",15.50,3.51,
544,덕성,"16,550",950,+6.09%,500,"2,595","15,680",1.24,"3,360,467",64.65,5.61,
545,TCC스틸,"11,000","1,350",-10.93%,"1,000","2,585","23,500",8.58,"2,051,556",24.34,-1.30,
546,사조대림,"28,150","1,200",+4.45%,"5,000","2,580","9,164",3.12,"91,892",4.37,10.02,
547,AK홀딩스,"19,450",50,-0.26%,"5,000","2,577","13,248",5.34,"19,599",-2.58,-20.57,
548,KPX케미칼,"53,200",400,-0.75%,"5,000","2,575","4,840",28.80,"1,944",4.37,12.70,
549,삼화페인트,"9,410",340,-3.49%,500,"2,560","27,203",9.43,"55,820","3,136.67",2.29,
550,현대비앤지스틸,"16,950",650,-3.69%,"5,000","2,556","15,079",5.29,"199,655",4.01,5.68,
551,KODEX 미국S&P500TR,"12,390",95,-0.76%,0,"2,552","20,600",0.01,"300,572",N/A,N/A,
552,STX엔진,"11,050",150,-1.34%,"2,500","2,542","23,009",0.00,"74,865",17.46,8.19,
553,대한방직,"47,950",150,+0.31%,"1,000","2,541","5,300",0.83,627,78.87,2.04,
554,대성에너지,"9,230",420,+4.77%,"1,000","2,538","27,500",1.40,"3,346,322",17.25,4.55,
555,흥국화재,"3,900",105,+2.77%,"5,000","2,505","64,243",1.33,"218,422",3.74,3.16,
556,부국증권,"24,100",200,+0.84%,"5,000","2,499","10,370",0.94,"2,357",3.81,11.58,
557,TIGER 글로벌자율주행&전기차SOLACTIVE,"11,870",110,-0.92%,0,"2,493","21,000",0.36,"196,533",N/A,N/A,
558,JW홀딩스,"3,635",25,+0.69%,500,"2,488","68,441",1.90,"86,423",11.15,7.45,
559,HANARO 200 TOP10,"9,415",115,-1.21%,0,"2,486","26,400",4.66,282,N/A,N/A,
560,KBSTAR 단기국공채액티브,"102,380",15,+0.01%,0,"2,479","2,421",0.00,"28,367",N/A,N/A,
561,무학,"8,670",10,-0.12%,200,"2,471","28,500",14.64,"15,143",114.08,2.55,
562,제일파마홀딩스,"15,450",300,-1.90%,500,"2,468","15,973",9.55,"15,031",37.59,2.86,
563,팜스코,"6,710",40,-0.59%,500,"2,464","36,728",1.35,"160,540",7.04,4.21,
564,TIGER CD금리투자KIS(합성),"50,575",0,0.00%,0,"2,460","4,864",0.00,194,N/A,N/A,
565,넥센,"4,590",90,-1.92%,500,"2,458","53,544",1.90,"60,717",7.04,1.05,
566,한농화성,"15,700",600,-3.68%,500,"2,455","15,637",1.80,"210,008",12.94,10.34,
567,한솔테크닉스,"7,640",70,-0.91%,"5,000","2,453","32,110",6.09,"130,166",106.11,9.70,
568,사조산업,"48,850","1,050",+2.20%,"5,000","2,442","5,000",3.50,"18,539",11.10,1.85,
569,금강공업,"8,270",90,-1.08%,"1,000","2,426","29,329",1.66,"66,091",87.05,-0.55,
570,TIGER 글로벌4차산업혁신기술(합성 H),"18,680",75,-0.40%,0,"2,421","12,960",0.04,"33,185",N/A,N/A,
571,세종공업,"8,650",160,-1.82%,500,"2,407","27,821",1.52,"154,423",13.54,-4.69,
572,한컴라이프케어,"8,680",180,-2.03%,200,"2,402","27,674",0.33,"122,240",4.97,-206.06,
573,경농,"12,300",50,-0.40%,500,"2,401","19,523",1.08,"24,073",14.29,6.70,
574,동성케미컬,"4,830",0,0.00%,"1,000","2,400","49,690",4.01,"42,411",150.94,2.39,
575,KODEX 반도체,"37,670",830,-2.16%,0,"2,392","6,350",1.14,"120,929",N/A,N/A,
576,LS전선아시아,"7,800",110,-1.39%,500,"2,389","30,625",2.35,"87,899",19.50,5.35,
577,금양,"4,875",90,-1.81%,500,"2,379","48,806",1.11,"243,901",221.59,-5.36,
578,LS네트웍스,"3,000",30,-0.99%,"5,000","2,364","78,803",0.16,"38,376",10.53,-4.87,
579,진양홀딩스,"4,215",455,+12.10%,500,"2,356","55,895",3.76,"13,411,104",23.03,8.23,
580,백광산업,"5,240",140,-2.60%,500,"2,354","44,918",2.32,"343,092",18.07,5.89,
581,용평리조트,"4,890",65,-1.31%,"5,000","2,354","48,133",1.70,"115,623",52.58,-4.54,
582,AJ네트웍스,"5,010",110,-2.15%,"1,000","2,346","46,822",5.18,"145,630",3.08,-1.30,
583,아모레G3우(전환),"32,950",450,-1.35%,500,"2,337","7,092",6.05,"13,640",18.50,N/A,
584,신원,"2,440",90,-3.56%,500,"2,332","95,569",1.37,"2,424,296",62.56,-3.92,
585,인지컨트롤스,"15,150",350,-2.26%,500,"2,323","15,333",2.23,"96,630",137.73,-1.77,
586,디아이씨,"5,970",130,-2.13%,500,"2,322","38,889",2.02,"656,443",-5.98,-128.28,
587,현대에너지솔루션,"20,700",250,-1.19%,"5,000","2,318","11,200",0.97,"21,124",88.46,1.93,
588,CJ제일제당 우,"174,500",0,0.00%,"5,000","2,316","1,327",27.09,"3,015",5.95,N/A,
589,한라,"6,080",200,+3.40%,"5,000","2,302","37,859",1.80,"711,274",2.38,34.98,
590,이엔플러스,"4,480",480,-9.68%,500,"2,301","51,353",1.39,"4,055,144",-15.34,-27.80,
591,백산,"9,500",0,0.00%,500,"2,299","24,200",2.86,"243,750",26.54,-11.97,
592,KBSTAR iSelect메타버스,"10,730",165,-1.51%,0,"2,290","21,340",0.16,"226,859",N/A,N/A,
593,세방,"11,850",50,-0.42%,500,"2,288","19,309",5.63,"49,515",5.51,3.89,
594,KODEX 골드선물(H),"12,095",15,+0.12%,0,"2,274","18,800",0.03,"111,020",N/A,N/A,
595,대원강업,"3,660",40,-1.08%,500,"2,269","62,000",2.11,"87,453",-17.68,-1.36,
596,현대차3우B,"93,400","1,300",-1.37%,"5,000","2,268","2,429",22.85,"8,298",4.73,N/A,
597,동남합성,"62,700",300,-0.48%,500,"2,263","3,610",0.02,"1,611",18.42,16.10,
598,S-Oil우,"55,900",300,-0.53%,"2,500","2,248","4,022",16.15,"10,257",5.38,N/A,
599,해태제과식품,"7,720",80,-1.03%,500,"2,248","29,117",0.58,"5,510",15.11,10.84,
600,삼영전자,"11,200",250,-2.18%,500,"2,240","20,000",42.20,"45,288",13.66,2.34,
601,동성제약,"8,500",20,+0.24%,"1,000","2,219","26,101",4.82,"67,628",-28.24,-22.52,
602,KINDEX 중국본토CSI300,"32,365",80,-0.25%,0,"2,201","6,800",0.02,"1,679",N/A,N/A,
603,KINDEX 베트남VN30(합성),"23,580",230,-0.97%,0,"2,193","9,300",0.03,"34,395",N/A,N/A,
604,JW생명과학,"13,800",100,-0.72%,"2,500","2,185","15,835",2.64,"43,024",23.79,13.25,
605,플레이그램,"2,435",110,-4.32%,100,"2,185","89,717",5.39,"1,196,581",-48.70,7.04,
606,현대코퍼레이션,"16,500",200,-1.20%,"5,000","2,183","13,229",6.28,"18,709",4.40,15.09,
607,써니전자,"6,240",120,-1.89%,500,"2,174","34,845",4.23,"4,339,062",43.64,9.92,
608,NH올원리츠,"5,150",20,-0.39%,500,"2,173","42,200",2.74,"176,167",N/A,-1.86,
609,효성ITX,"18,700",500,-2.60%,500,"2,161","11,558",0.63,"34,413",16.98,25.21,
610,예스코홀딩스,"35,850",150,+0.42%,"5,000","2,151","6,000",14.90,796,"1,378.85",-13.18,
611,TIGER 차이나CSI300,"11,965",45,-0.37%,0,"2,148","17,950",0.61,"54,008",N/A,N/A,
612,한신공영,"18,550","1,500",+8.80%,"5,000","2,146","11,571",15.29,"332,179",2.96,18.96,
613,KOSEF 국고채10년,"117,265",140,-0.12%,0,"2,146","1,830",0.00,"11,208",N/A,N/A,
614,제주은행,"6,670",280,+4.38%,"5,000","2,143","32,129",1.89,"1,309,696",9.20,3.48,
615,그린케미칼,"8,900",100,-1.11%,500,"2,136","24,000",0.39,"53,742",16.42,9.33,
616,NH투자증권우,"11,250",100,-0.88%,"5,000","2,123","18,871",6.62,"49,718",4.13,N/A,
617,동아지질,"18,350",600,-3.17%,500,"2,110","11,500",6.15,"86,309",63.28,1.06,
618,신라교역,"13,100",350,-2.60%,500,"2,096","16,000",3.46,"13,309",6.39,1.48,
619,한국주철관,"9,180",0,0.00%,500,"2,093","22,800",3.19,"18,370",4.96,4.05,
620,TIGER 미국달러단기채권액티브,"10,245",20,-0.19%,0,"2,085","20,350",0.00,"80,331",N/A,N/A,
621,종근당바이오,"37,850",800,-2.07%,"2,500","2,076","5,486",1.66,"17,380",-30.85,3.79,
622,대성산업,"4,565",25,+0.55%,"5,000","2,065","45,235",1.23,"198,059",4.89,10.57,
623,샘표식품,"44,800","1,000",-2.18%,500,"2,047","4,568",4.48,"5,084",9.28,20.65,
624,쌍방울,775,22,-2.76%,500,"2,035","262,592",1.35,"7,405,693",33.70,-8.46,
625,ARIRANG 고배당주,"12,990",235,+1.84%,0,"2,026","15,600",0.20,"315,891",N/A,N/A,
626,IHQ,"1,380",25,-1.78%,500,"2,018","146,236",2.26,"579,374",-13.80,-14.32,
627,KINDEX 단기통안채,"100,130",5,0.00%,0,"2,017","2,014",0.00,563,N/A,N/A,
628,영풍제지,"9,070",480,-5.03%,500,"2,014","22,200",0.80,"891,280",28.26,6.94,
629,HANARO 200TR,"46,770",325,-0.69%,0,"2,011","4,300",0.00,174,N/A,N/A,
630,아남전자,"2,600",110,-4.06%,500,"2,005","77,125",3.24,"2,548,577",26.80,9.11,
631,하나 코스피 변동성추세 추종 양매도 ETN,"7,985",0,0.00%,0,"1,996","25,000",0.00,0,N/A,N/A,
632,현대약품,"6,220",40,-0.64%,500,"1,990","32,000",1.01,"985,421",-282.73,2.52,
633,일성신약,"74,800","1,800",+2.47%,"5,000","1,990","2,660",2.28,"2,100",-72.41,0.93,
634,GS글로벌,"2,390",80,-3.24%,"2,500","1,973","82,534",2.49,"284,906",-2.91,-24.91,
635,TIGER 단기채권액티브,"50,290",0,0.00%,0,"1,954","3,886",3.76,"3,891",N/A,N/A,
636,서연이화,"7,190",130,-1.78%,500,"1,943","27,028",7.06,"272,898",3.88,-6.80,
637,일진전기,"5,240",90,-1.69%,"1,000","1,943","37,080",3.06,"171,437",12.97,1.57,
638,DB,965,5,-0.52%,500,"1,941","201,174",3.05,"314,562",17.23,2.39,
639,태경산업,"6,640",30,-0.45%,500,"1,941","29,229",2.52,"94,749",13.63,1.59,
640,TIGER 글로벌메타버스액티브,"9,650",120,-1.23%,0,"1,935","20,050",0.00,"3,250,393",N/A,N/A,
641,삼화전기,"29,250",150,+0.52%,"1,000","1,935","6,614",25.17,"21,009",13.01,9.04,
642,에이플러스에셋,"8,540",230,-2.62%,500,"1,931","22,608",2.19,"158,478",10.24,29.70,
643,광전자,"3,310",20,-0.60%,500,"1,918","57,944",22.07,"252,743",-45.34,-7.56,
644,까뮤이앤씨,"4,240",390,-8.42%,500,"1,914","45,152",1.80,"17,099,250",-235.56,11.98,
645,KODEX 배당가치,"13,550",5,+0.04%,0,"1,911","14,100",0.00,"51,887",N/A,N/A,
646,동방,"3,975",5,-0.13%,"1,000","1,907","47,972",2.25,"312,295",15.35,12.87,
647,LG우,"63,000",100,+0.16%,"5,000","1,904","3,022",43.14,"4,780",4.16,N/A,
648,KBSTAR IT플러스,"21,125",385,-1.79%,0,"1,901","9,000",0.06,"35,224",N/A,N/A,
649,HANARO 단기채권액티브,"100,375",0,0.00%,0,"1,901","1,894",0.02,5,N/A,N/A,
650,센트랄모텍,"22,000",300,-1.35%,500,"1,894","8,610",0.46,"33,513",17.94,6.84,
651,아시아나IDT,"17,000",500,-2.86%,500,"1,887","11,100",0.27,"11,562",10.62,-6.03,
652,한양증권,"14,800",150,-1.00%,"5,000","1,884","12,729",9.77,"34,816",2.63,14.23,
653,TIGER 미국MSCI리츠(합성 H),"16,155",265,-1.61%,0,"1,882","11,650",0.03,"118,367",N/A,N/A,
654,두산퓨얼셀1우,"13,850",350,-2.46%,100,"1,851","13,364",16.59,"22,056",277.00,N/A,
655,KCTC,"6,150",0,0.00%,500,"1,845","30,000",0.84,"62,846",8.51,6.54,
656,세원이앤씨,"1,255",10,-0.79%,500,"1,832","145,949",1.97,"3,749,749",-0.94,-15.32,
657,KODEX WTI원유선물(H),"12,325",190,-1.52%,0,"1,821","14,775",0.48,"158,819",N/A,N/A,
658,HDC현대EP,"5,700",100,-1.72%,500,"1,818","31,900",6.80,"94,503",10.67,4.79,
659,카프로,"4,520",50,-1.09%,500,"1,808","40,000",5.46,"349,368",-11.13,-39.82,
660,대호에이엘,"3,565",15,-0.42%,500,"1,802","50,535",0.89,"171,414",162.05,2.43,
661,SK이노베이션우,"144,000",0,0.00%,"5,000","1,798","1,248",11.68,"4,866","-4,235.29",N/A,
662,디와이,"6,750",80,-1.17%,500,"1,777","26,320",8.82,"309,093",-37.09,-3.39,
663,한국특강,"3,330",35,+1.06%,500,"1,773","53,242",0.28,"87,045",6.16,4.06,
664,이지스밸류리츠,"5,740",0,0.00%,"1,000","1,772","30,873",2.05,"67,478",6.19,N/A,
665,성창기업지주,"2,540",0,0.00%,500,"1,772","69,752",2.64,"177,622",11.29,0.96,
666,대한화섬,"133,000","2,500",+1.92%,"5,000","1,766","1,328",0.11,296,9.44,2.84,
667,KBSTAR 미국나스닥100,"14,005",150,-1.06%,0,"1,765","12,600",0.00,"164,251",N/A,N/A,
668,SK케미칼우,"83,100",600,-0.72%,"5,000","1,758","2,115",14.57,"5,910",39.61,N/A,
669,노루홀딩스,"13,200",300,-2.22%,500,"1,754","13,291",3.58,"21,331",15.88,3.80,
670,삼성물산우B,"107,500",0,0.00%,100,"1,749","1,627",9.09,"2,415",12.23,N/A,
671,미원화학,"79,500",200,+0.25%,"1,000","1,748","2,199",5.33,217,17.07,12.81,
672,KBSTAR 코스피,"29,915",250,-0.83%,0,"1,735","5,800",0.00,102,N/A,N/A,
673,삼양통상,"57,700",200,+0.35%,"5,000","1,731","3,000",4.71,"1,275",3.35,14.17,
674,한국패러랠,"2,150",5,+0.23%,0,"1,720","80,020",0.00,"225,872",N/A,N/A,
675,SG세계물산,848,22,-2.53%,500,"1,717","202,425",1.43,"13,057,520",3.34,-5.16,
676,우진,"8,370",400,+5.02%,500,"1,701","20,324",1.06,"4,613,466",9.69,25.83,
677,강남제비스코,"26,050",250,-0.95%,"1,000","1,693","6,500",10.94,"26,787",1.86,4.34,
678,수산중공업,"3,135",70,-2.18%,500,"1,692","53,985",1.84,"1,271,586",20.76,3.95,
679,깨끗한나라,"4,540",125,+2.83%,"1,000","1,691","37,241",1.44,"584,632",12.90,20.21,
680,대창,"1,850",30,-1.60%,500,"1,686","91,140",1.95,"449,674",6.65,3.50,
681,KBSTAR KIS국고채30년Enhanced,"96,175",225,-0.23%,0,"1,664","1,730",0.00,376,N/A,N/A,
682,화성산업,"13,350",250,+1.91%,"5,000","1,662","12,451",9.36,"48,064",9.69,N/A,
683,인바이오젠,"3,110",100,-3.12%,500,"1,661","53,397",1.45,"606,731",-3.01,-62.65,
684,웅진,"2,075",10,-0.48%,500,"1,658","79,927",1.21,"6,815,401",9.18,-39.32,
685,삼익악기,"1,825",10,-0.54%,500,"1,652","90,531",3.78,"229,449",2.66,4.49,
686,에이블씨엔씨,"6,100",250,-3.94%,500,"1,649","27,033",11.23,"30,993",-1.79,-43.75,
687,동아타이어,"11,900",150,-1.24%,500,"1,634","13,733",2.92,"13,415",9.84,3.69,
688,TRUE 레버리지 나스닥 100 ETN,"32,465",620,-1.87%,0,"1,623","5,000",0.00,"10,570",N/A,N/A,
689,일신석재,"2,090",85,-3.91%,500,"1,619","77,457",1.82,"649,130","1,045.00",1.22,
690,범양건영,"6,490",780,-10.73%,"1,000","1,612","24,832",0.98,"1,410,894",15.64,14.51,
691,솔루스첨단소재1우,"21,850",300,-1.35%,100,"1,610","7,366",12.63,"8,087",-86.02,N/A,
692,일동홀딩스,"13,900",50,-0.36%,"1,000","1,604","11,540",1.47,"27,699",-4.85,-14.74,
693,대원화성,"3,880",110,-2.76%,500,"1,600","41,249",0.98,"488,628",-69.29,-2.80,
694,유수홀딩스,"6,130",20,+0.33%,"2,500","1,596","26,042",10.52,"29,715",1.78,30.04,
695,미래에셋글로벌리츠,"5,430",20,-0.37%,"1,000","1,578","29,060",1.38,"83,339",N/A,N/A,
696,신세계건설,"39,200","1,450",+3.84%,"5,000","1,568","4,000",5.69,"65,434",5.00,6.12,
697,명문제약,"4,605",65,-1.39%,500,"1,564","33,953",0.96,"67,048",-22.91,-33.77,
698,신흥,"16,450",150,-0.90%,500,"1,563","9,500",0.38,"5,548",11.34,14.45,
699,사조동아원,"1,105",15,-1.34%,500,"1,560","141,145",1.95,"379,647",29.08,4.74,
700,오리엔트바이오,"1,310",15,-1.13%,500,"1,553","118,583",1.06,"1,955,650",-46.79,-29.70,
701,신일전자,"2,175",25,-1.14%,500,"1,545","71,048",5.46,"2,913,483",15.65,11.08,
702,에넥스,"2,570",135,-4.99%,500,"1,542","59,992",1.01,"1,315,039",-13.89,-17.89,
703,팜젠사이언스,"10,100",200,-1.94%,500,"1,539","15,233",1.53,"130,845",5.83,13.21,
704,대신증권2우B,"15,250",250,+1.67%,"5,000","1,525","10,000",3.15,"17,992",2.08,N/A,
705,TIGER 헬스케어,"34,655",200,-0.57%,0,"1,525","4,400",0.34,"47,972",N/A,N/A,
706,디와이파워,"13,800",0,0.00%,500,"1,524","11,042",6.06,"95,155",4.46,14.27,
707,동양철관,"1,270",35,-2.68%,500,"1,510","118,885",3.04,"688,989",-38.48,8.41,
708,대양금속,"4,690",150,-3.10%,500,"1,509","32,168",0.73,"535,107",31.06,-0.91,
709,KOSEF 단기자금,"100,925",0,0.00%,0,"1,503","1,489",0.17,"706,269",N/A,N/A,
710,대유플러스,"1,240",40,-3.12%,500,"1,500","120,999",1.45,"1,004,361",95.38,-9.07,
711,KODEX 차이나항셍테크,"7,475",145,+1.98%,0,"1,495","20,000",0.02,"208,462",N/A,N/A,
712,DL이앤씨우,"70,700",800,-1.12%,"5,000","1,495","2,114",7.00,"5,902",N/A,N/A,
713,유화증권,"2,635",5,-0.19%,"1,000","1,494","56,702",3.37,"9,165",23.32,1.12,
714,KODEX 미국S&P500선물(H),"22,575",115,-0.51%,0,"1,490","6,600",0.49,"73,326",N/A,N/A,
715,한솔홀딩스,"3,520",15,-0.42%,"1,000","1,479","42,009",13.38,"280,673",2.54,15.20,
716,한국내화,"3,595",10,-0.28%,500,"1,476","41,067",0.62,"21,458",14.55,N/A,
717,퍼스텍,"3,070",130,-4.06%,500,"1,475","48,061",0.95,"6,031,872",21.03,19.81,
718,대유에이텍,"1,280",50,-3.76%,500,"1,473","115,094",2.31,"1,291,185",-22.86,-1.86,
719,SNT에너지,"19,500","1,050",+5.69%,500,"1,464","7,507",5.13,"59,194",11.38,4.07,
720,STX중공업,"5,160",230,-4.27%,"2,500","1,464","28,366",0.32,"216,262",-9.89,0.73,
721,조선선재,"115,500","1,000",-0.86%,500,"1,453","1,258",0.43,"2,013",10.66,8.09,
722,KBSTAR 코스닥150,"13,880",225,-1.60%,0,"1,449","10,440",1.93,"64,586",N/A,N/A,
723,모나리자,"3,945",80,-1.99%,500,"1,443","36,571",1.27,"143,739",43.35,11.62,
724,KBSTAR 코스닥150선물레버리지,"14,530",635,-4.19%,0,"1,438","9,900",0.07,"36,342",N/A,N/A,
725,TRUE 레버리지 S&P500 선물 ETN(H),"28,665",305,-1.05%,0,"1,433","5,000",0.00,"32,106",N/A,N/A,
726,태경케미컬,"12,350",250,-1.98%,500,"1,433","11,600",2.19,"158,956",11.85,6.37,
727,국동,"2,600",70,-2.62%,500,"1,429","54,963",1.04,"266,288",-9.32,20.63,
728,TIGER 코스닥150,"14,070",310,-2.16%,0,"1,418","10,080",0.87,"150,574",N/A,N/A,
729,한국화장품,"8,780",220,-2.44%,500,"1,411","16,068",0.40,"18,430",-15.06,-23.66,
730,황금에스티,"8,690",50,-0.57%,500,"1,390","16,000",2.45,"43,117",5.37,6.34,
731,한국석유,"10,950",150,-1.35%,500,"1,390","12,694",0.97,"25,544",15.36,4.60,
732,한솔홈데코,"1,725",40,-2.27%,"1,000","1,390","80,565",3.04,"616,369",20.29,0.38,
733,TIGER 여행레저,"4,680",85,-1.78%,0,"1,389","29,670",0.06,"347,882",N/A,N/A,
734,이스타코,"3,230",420,-11.51%,500,"1,384","42,852",1.38,"2,229,901",179.44,-0.12,
735,신한 레버리지 천연가스 선물 ETN,"6,920",890,+14.76%,0,"1,384","20,000",0.00,"854,693",N/A,N/A,
736,인팩,"13,700",300,-2.14%,500,"1,370","10,000",2.66,"279,002",18.61,3.55,
737,CJ씨푸드,"3,810",65,-1.68%,500,"1,369","35,931",0.82,"135,865",31.23,3.23,
738,삼일씨엔에스,"10,700",50,-0.47%,"1,000","1,362","12,732",0.49,"29,121",-23.31,-0.37,
739,한국공항,"43,000",400,-0.92%,"5,000","1,362","3,166",4.44,"3,091",-9.03,-15.94,
740,미창석유,"78,200",200,-0.26%,"5,000","1,360","1,740",31.70,494,4.88,7.36,
741,대림B&Co,"8,140",0,0.00%,"1,000","1,357","16,672",2.75,"94,310",22.36,-1.06,
742,우리들휴브레인,"1,665",20,+1.22%,500,"1,354","81,323",1.49,"607,711",11.64,20.12,
743,극동유화,"3,880",55,-1.40%,500,"1,353","34,869",2.28,"79,265",11.31,4.54,
744,태경비케이,"4,890",120,-2.40%,500,"1,349","27,583",3.30,"152,693",13.47,3.42,
745,두올,"4,075",165,-3.89%,"2,500","1,347","33,067",0.94,"296,943",9.70,3.00,
746,이건산업,"12,300",200,-1.60%,"5,000","1,347","10,953",5.23,"64,241",10.63,0.96,
747,TRUE 코스피 양매도 5% OTM ETN,"8,955",0,0.00%,0,"1,343","15,000",0.00,2,N/A,N/A,
748,KODEX 국고채3년,"57,420",30,+0.05%,0,"1,340","2,334",0.01,"9,477",N/A,N/A,
749,대신 골드 커버드콜 타겟 5%인컴 ETN(H),"13,280",35,-0.26%,0,"1,328","10,000",0.00,394,N/A,N/A,
750,TIGER 반도체,"38,770",830,-2.10%,0,"1,326","3,420",2.50,"43,202",N/A,N/A,
751,쎌마테라퓨틱스,"6,410",0,0.00%,500,"1,320","20,595",0.36,0,-5.14,"-1,165.40",
752,한미글로벌,"11,950",350,-2.85%,500,"1,309","10,958",3.14,"94,652",9.72,7.84,
753,계양전기,"4,010",90,-2.20%,500,"1,307","32,600",4.02,"170,463",21.11,5.30,
754,한창제지,"2,180",40,-1.80%,500,"1,301","59,667",1.41,"7,374,795",9.48,11.72,
755,경동도시가스,"22,050",50,-0.23%,"2,500","1,300","5,895",17.27,"14,508",5.09,5.46,
756,남광토건,"13,150",200,-1.50%,"5,000","1,293","9,829",1.48,"20,903",7.40,23.10,
757,유니온머티리얼,"3,075",55,-1.76%,500,"1,292","42,000",0.70,"254,541",-236.54,-1.59,
758,세이브존I&C,"3,145",5,+0.16%,"1,000","1,291","41,041",9.39,"16,010",12.94,2.20,
759,미래에셋 코스피 양매도 5% OTM ETN,"8,600",10,-0.12%,0,"1,290","15,000",0.00,201,N/A,N/A,
760,세아특수강,"15,000",200,-1.32%,"5,000","1,286","8,570",2.94,"12,363",5.84,-1.42,
761,유유제약,"7,450",70,-0.93%,"1,000","1,284","17,232",0.81,"134,924",-143.27,1.26,
762,삼호개발,"5,130",90,-1.72%,500,"1,282","25,000",5.76,"35,350",7.22,9.26,
763,TIGER 중국소비테마,"7,585",180,-2.32%,0,"1,274","16,800",0.00,"20,477",N/A,N/A,
764,코스맥스비티아이,"13,250",150,-1.12%,500,"1,273","9,604",4.65,"4,039",161.59,-2.15,
765,한신기계,"3,920",315,+8.74%,500,"1,272","32,446",4.45,"15,699,702",40.00,4.24,
766,삼원강재,"3,165",0,0.00%,500,"1,266","40,000",0.73,"20,541",14.93,3.84,
767,기신정기,"4,315",5,+0.12%,500,"1,260","29,200",65.51,"25,266",10.45,4.06,
768,크라운해태홀딩스,"8,480",20,-0.24%,500,"1,259","14,847",2.69,"5,362",8.76,8.40,
769,STX,"4,385",105,-2.34%,"2,500","1,255","28,621",1.71,"108,169",-3.41,-48.03,
770,샘표,"43,550",200,+0.46%,"1,000","1,252","2,876",5.44,"1,158",10.84,10.50,
771,대구백화점,"11,550",50,-0.43%,"5,000","1,250","10,822",0.60,"2,637",-5.58,-6.63,
772,ARIRANG ESG가치주액티브,"9,415",80,-0.84%,0,"1,247","13,250",0.48,252,N/A,N/A,
773,삼성 레버리지 천연가스 선물 ETN B,"12,450","1,580",+14.54%,0,"1,245","10,000",0.00,"181,899",N/A,N/A,
774,KBSTAR 미국S&P500,"12,285",95,-0.77%,0,"1,241","10,100",0.01,"64,217",N/A,N/A,
775,KODEX TRF3070,"11,480",0,0.00%,0,"1,240","10,800",0.00,"73,475",N/A,N/A,
776,이구산업,"3,700",65,-1.73%,500,"1,237","33,442",0.94,"222,819",6.89,1.86,
777,보해양조,896,7,-0.78%,500,"1,237","138,014",1.56,"925,116",68.92,2.22,
778,TIGER 미디어컨텐츠,"9,005",155,-1.69%,0,"1,229","13,650",1.70,"259,730",N/A,N/A,
779,TIGER 부동산인프라고배당,"6,005",30,-0.50%,0,"1,228","20,450",0.02,"271,983",N/A,N/A,
